"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"

"On the <a href=""%s"" target=""_blank"">module page on GitHub</a>, you can find module description, settings and answers to the questions.","Описание модуля, настройки, а также ответы на вопросы вы можете найти на <a href=""%s"" target=""_blank"">странице модуля в GitHub</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a> on GitHub. You will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>In addition, all questions, comments and suggestions on the module, you can write us at <a href=""mailto:support@paybox.kz"">support@paybox.kz</a>.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания задач</a> на сайте GitHub. Вам будет необходимо авторизоваться для создания задачи.<br><br>Если у вас есть пожелания по работе модуля или вы нашли в нем ошибку, пожалуйста, сообщайте нам.<br><br>Также все вопросы, замечания и пожелания по работе модуля вы можете написать нам по адресу <a href=""mailto:support@paybox.kz"">support@paybox.kz</a>."

"PayBox Payment Information","Информация о платёжном модуле PayBox"
"PayBox Payment Options","Настройки модуля PayBox"
"Settings","Настройки"
"Go to Payment Methods settings section","Перейти к секции настроек Методов Оплаты"
"Extension options available in System -> Configuration -> Sales -> Payment Methods","Настройки модуля находятся в Система -> Конфигурация -> Продажи -> Методы оплаты"

"Extension information","Информация о модуле"
"Enabled","Включен"
"Title","Заголовок"
"Description","Описание"
"Sort order","Порядок сортировки"
"PayBox Gateway options","Настройки соединения с платёжным сервисом PayBox"
"Test Mode","Тестовый режим"
"If Enabled - module will connect PayBox gate in test mode. You can enable this option at any time.","Если включен - модуль будет подключаться к PayBox в тестовом режиме. Вы можете включить эту опцию в любое время."
"Debug Mode","Режим отладки"
"If Enabled - technical information records into a log file /var/log/payment_paybox.log","Если включён - ведётся запись технической информации в файл журнала /var/log/payment_paybox.log"
"Merchant ID","ID  продавца"
"Merchant ID in PayBox account (merchant_id)","ID продавца можно узнать в личном кабинете PayBox (merchant_id)"
"Secret Key","Секретный ключ"
"Secret Key in PayBox account (secret_key)","Секретный ключ можно узнать в личном кабинете PayBox (secret_key)"
"Language","Язык"
"Language on PayBox Payment website","Язык на сайте платёжного сервиса PayBox"
"Restrictions","Ограничения"
"Payment from Applicable Countries","Оплата из доступных стран"
"Payment from Specific Countries","Оплата из выбранных стран"
"Minimum Order Total","Минимальная сумма заказа"
"Maximum Order Total","Максимальная сумма заказа"
"Order and Shopping Cart","Заказ и корзина"
"New Order Status","Статус нового заказа"
"Do not empty Cart","Не очищать корзину"
"If Yes - Shopping cart will be refilled if payment failed.","Если Да - корзина будет перезаполнена, если оплата не удалась."

"You will be redirected to payment form in a few seconds.","Вы будете перенаправлены на форму оплаты через несколько секунд."
"Click here, if not redirected for 30 seconds","Нажмите сюда, если вас не перенаправило в течении 30 секунд"
"Customer redirected to payment Gateway Robokassa","Клиент перенаправлен на сайт платёжного сервиса Робокасса для оплаты"
"The amount has been authorized and captured by Robokassa.","Сумма подтверждена и получена платёжным сервисом Робокасса."
"Incorrect order number.","Неправильный номер заказа."
"Payment failed","Оплата не удалась"
"Cannot add the item to shopping cart.","Невозможно добавить товар в корзину."
"English","Английский"
"Russian","Русский"
"All Allowed Countries","Все разрешённые страны"
"Specific Countries","Определённые страны"
"Any","Любая"
"Order description","Описание заказа"
"Order description on PayBox Payment website","Описание заказа на сайте платёжного сервиса PayBox"

"Order will receive this status right after creation. Status will be changed the moment payment is received.","Заказ получит данный статус, как только будет создан. После оплаты заказа статус изменится."
"Incorrect answer. No order number.","Неправильный ответ. Нет номера заказа."
"No answer data.","Нет данных в ответе."
"An error has occurred during the checkout process. Please, contact the store owner.","Произошла ошибка во время выполнения заказа. Пожалуйста, свяжитесь с владельцем магазина."
"Back to the main page","Вернуться на главную страницу"
"Documentation","Документация"
"POST or GET data transfer method","Метод передачи данных POST или GET"
"You need to set callback links for your shop in your account on PayBox website to make extension work.","Для работы модуля необходимо настроить ссылки возврата на ваш магазин в личном кабинете PayBox."
"Callback URLs","Ссылки возврата"
